ticket_id,timestamp,canal,categoria_cliente,intencao,tamanho_msg,tempo_resposta_seg,satisfacao
1000,2024-01-11 23:15:00,WhatsApp,Standard,Financeiro,21,39.92852615310325,5.0
1001,2024-01-01 14:20:00,WhatsApp,Free,Reclamação,70,79.43989006250624,4.0
1002,2024-01-27 11:58:00,App iOS,Free,Reclamação,37,120.0128821728951,4.0
1003,2024-01-08 20:04:00,App iOS,Free,Financeiro,15,82.5935188655167,
1004,2024-01-05 08:25:00,Web,Standard,Financeiro,189,34.03018910292756,4.0
1005,2024-01-12 16:50:00,App Android,Premium,Suporte Técnico,145,33.20488769880526,5.0
1006,2024-01-26 19:54:00,App iOS,Free,Suporte Técnico,199,163.97835996848696,3.0
1007,2024-01-16 06:02:00,WhatsApp,Standard,Financeiro,102,32.487566103243694,4.0
1008,2024-01-12 03:03:00,WhatsApp,Free,Suporte Técnico,37,253.79565304425898,3.0
1009,2024-01-29 12:50:00,WhatsApp,Premium,Elogio,65,11.052342773021284,5.0
1010,2024-01-02 04:05:00,App iOS,Standard,Reclamação,29,28.15765008654773,5.0
1011,2024-01-01 12:49:00,WhatsApp,Premium,Reclamação,76,18.60227688461072,5.0
1012,2024-01-02 16:33:00,Web,Standard,Financeiro,181,33.600713704779665,5.0
1013,2024-01-04 16:31:00,App iOS,Free,Dúvida Produto,65,82.88612996788709,4.0
1014,2024-01-27 06:19:00,App Android,Standard,Financeiro,117,26.414845790193265,5.0
1015,2024-01-28 05:08:00,WhatsApp,Standard,Suporte Técnico,111,104.22366487702165,5.0
1016,2024-01-13 04:48:00,App Android,Standard,Dúvida Produto,35,21.318407581182854,5.0
1017,2024-01-14 17:29:00,WhatsApp,Standard,Suporte Técnico,36,74.11202138387097,5.0
1018,2024-01-20 22:13:00,App Android,Free,Elogio,143,63.63545627350901,5.0
1019,2024-01-05 10:36:00,WhatsApp,Free,Suporte Técnico,47,284.16665901799263,3.0
1020,2024-01-20 02:00:00,WhatsApp,Free,Elogio,122,89.87177498024994,5.0
1021,2024-01-29 18:34:00,App iOS,Free,Elogio,47,93.20713352584983,4.0
1022,2024-01-18 19:38:00,WhatsApp,Standard,Suporte Técnico,55,116.53338464441413,5.0
1023,2024-01-14 03:42:00,WhatsApp,Free,Suporte Técnico,120,198.2937295918623,4.0
1024,2024-01-13 19:11:00,App iOS,Standard,Elogio,81,40.49145548435121,5.0
1025,2024-01-02 21:47:00,App iOS,Standard,Dúvida Produto,72,27.65560851355087,4.0
1026,2024-01-01 03:09:00,App iOS,Free,Elogio,44,85.79677576347183,5.0
1027,2024-01-14 06:38:00,App iOS,Premium,Reclamação,101,22.914525769861797,5.0
1028,2024-01-25 20:13:00,Web,Free,Elogio,49,87.10037320928988,4.0
1029,2024-01-02 07:39:00,WhatsApp,Standard,Dúvida Produto,131,21.753771574228512,5.0
1030,2024-01-01 21:07:00,WhatsApp,Free,Reclamação,44,95.07453818627361,4.0
1031,2024-01-22 21:51:00,WhatsApp,Free,Financeiro,72,86.89073714699393,5.0
1032,2024-01-08 21:54:00,App Android,Free,Financeiro,133,96.60772515120948,3.0
1033,2024-01-03 11:16:00,Web,Free,Dúvida Produto,113,87.59523972010015,4.0
1034,2024-01-03 16:50:00,Web,Free,Elogio,119,129.87980309168574,5.0
1035,2024-01-29 21:26:00,Web,Premium,Suporte Técnico,84,41.67551879126952,
1036,2024-01-22 08:20:00,App Android,Free,Dúvida Produto,37,70.65063670093528,5.0
1037,2024-01-11 01:42:00,WhatsApp,Premium,Reclamação,159,15.373640406071564,4.0
1038,2024-01-16 02:57:00,Web,Free,Reclamação,91,75.60666316499331,5.0
1039,2024-01-08 09:07:00,Web,Free,Financeiro,57,85.54115083494683,5.0
1040,2024-01-07 02:32:00,App iOS,Free,Reclamação,54,73.61206720979719,4.0
1041,2024-01-30 21:01:00,WhatsApp,Premium,Dúvida Produto,243,21.32135556961807,5.0
1042,2024-01-06 20:33:00,App Android,Premium,Reclamação,80,12.925846154465335,5.0
1043,2024-01-30 20:41:00,App Android,Free,Dúvida Produto,31,102.37615833589446,4.0
1044,2024-01-08 15:36:00,Web,Premium,Suporte Técnico,194,35.0739043359253,5.0
1045,2024-01-17 14:17:00,App iOS,Premium,Financeiro,71,11.524760482281629,5.0
1046,2024-01-02 19:32:00,App Android,Premium,Reclamação,60,15.59294790869852,5.0
1047,2024-01-17 07:23:00,App iOS,Free,Dúvida Produto,40,97.21245306754273,4.0
1048,2024-01-12 21:59:00,WhatsApp,Free,Elogio,94,100.05527758958125,
1049,2024-01-29 11:14:00,Web,Standard,Financeiro,164,14.266685072754345,5.0
1050,2024-01-11 02:21:00,App iOS,Standard,Suporte Técnico,97,56.477314294963634,4.0
1051,2024-01-25 22:40:00,Web,Standard,Dúvida Produto,64,35.74532831413131,5.0
1052,2024-01-19 10:11:00,App iOS,Free,Suporte Técnico,27,183.43768668260435,3.0
1053,2024-01-02 02:25:00,App Android,Free,Suporte Técnico,75,234.132482263955,3.0
1054,2024-01-03 17:43:00,App Android,Premium,Reclamação,110,11.225925914313644,5.0
1055,2024-01-17 14:59:00,Web,Premium,Reclamação,705,17.194803306475322,5.0
1056,2024-01-14 12:17:00,WhatsApp,Premium,Dúvida Produto,199,17.793808787986723,5.0
1057,2024-01-01 17:01:00,App Android,Free,Elogio,65,103.1743783111026,5.0
1058,2024-01-09 02:13:00,App Android,Free,Dúvida Produto,116,108.58602262236475,4.0
1059,2024-01-10 07:37:00,WhatsApp,Standard,Elogio,67,39.38340086939719,5.0
1060,2024-01-29 07:17:00,App Android,Premium,Suporte Técnico,151,28.694444012932692,5.0
1061,2024-01-07 17:32:00,App Android,Premium,Financeiro,100,12.633984206545913,4.0
1062,2024-01-05 18:33:00,Web,Free,Dúvida Produto,236,106.1557842654683,5.0
1063,2024-01-04 22:35:00,Web,Standard,Dúvida Produto,102,36.78131863102489,5.0
1064,2024-01-01 02:41:00,WhatsApp,Free,Elogio,130,77.86182683570534,5.0
1065,2024-01-26 17:45:00,WhatsApp,Free,Suporte Técnico,106,191.52512706034872,2.0
1066,2024-01-19 10:37:00,WhatsApp,Standard,Suporte Técnico,38,65.21679765104241,5.0
1067,2024-01-24 10:43:00,App Android,Standard,Elogio,191,20.369430215736323,5.0
1068,2024-01-23 15:26:00,WhatsApp,Premium,Suporte Técnico,116,27.964416133694435,4.0
1069,2024-01-09 00:14:00,WhatsApp,Free,Reclamação,132,67.54873238945724,5.0
1070,2024-01-21 05:27:00,WhatsApp,Free,Financeiro,175,84.7062274714986,4.0
1071,2024-01-29 01:17:00,Web,Free,Dúvida Produto,179,94.87505728501118,
1072,2024-01-18 22:51:00,App Android,Free,Financeiro,40,97.8025109695627,4.0
1073,2024-01-01 16:56:00,WhatsApp,Premium,Dúvida Produto,35,13.474313240172958,4.0
1074,2024-01-17 20:13:00,WhatsApp,Free,Reclamação,50,81.28823190694418,
1075,2024-01-17 20:36:00,App iOS,Free,Suporte Técnico,35,230.56476728180675,3.0
1076,2024-01-17 03:27:00,Web,Standard,Elogio,66,21.023912657103438,4.0
1077,2024-01-17 21:00:00,WhatsApp,Free,Reclamação,38,107.2699295774956,4.0
1078,2024-01-06 22:09:00,Web,Free,Financeiro,40,113.13693502225688,4.0
1079,2024-01-12 23:42:00,WhatsApp,Free,Elogio,114,78.73954852161529,5.0
1080,2024-01-07 10:28:00,WhatsApp,Free,Suporte Técnico,25,207.07037282930494,3.0
1081,2024-01-15 18:31:00,Web,Free,Reclamação,93,112.37962004721305,4.0
1082,2024-01-09 11:05:00,Web,Free,Elogio,158,87.78507136218181,4.0
1083,2024-01-15 18:03:00,App Android,Premium,Reclamação,157,16.764736337854888,5.0
1084,2024-01-28 03:39:00,WhatsApp,Standard,Reclamação,135,29.446167637195355,5.0
1085,2024-01-06 22:51:00,Web,Free,Suporte Técnico,147,295.0338324816123,4.0
1086,2024-01-28 18:16:00,App iOS,Standard,Dúvida Produto,141,32.94047776950897,5.0
1087,2024-01-27 10:04:00,WhatsApp,Standard,Elogio,40,33.285934631515154,5.0
1088,2024-01-29 07:34:00,App iOS,Standard,Suporte Técnico,77,83.4945980810038,4.0
1089,2024-01-02 18:48:00,WhatsApp,Standard,Reclamação,137,26.669317582033727,5.0
1090,2024-01-02 09:47:00,App Android,Free,Suporte Técnico,64,204.15423883848592,
1091,2024-01-02 20:55:00,WhatsApp,Free,Dúvida Produto,65,103.84642151207954,4.0
1092,2024-01-04 15:38:00,Web,Standard,Elogio,109,30.758476976601706,5.0
1093,2024-01-16 06:42:00,WhatsApp,Premium,Dúvida Produto,259,11.46716697656468,5.0
1094,2024-01-28 10:24:00,App Android,Premium,Financeiro,154,20.61931327387434,5.0
1095,2024-01-24 00:39:00,Web,Free,Elogio,26,107.6052936113478,4.0
1096,2024-01-10 17:06:00,Web,Free,Dúvida Produto,101,90.67727382921034,3.0
1097,2024-01-09 19:06:00,WhatsApp,Standard,Reclamação,43,28.35899410920021,5.0
1098,2024-01-27 20:20:00,App iOS,Free,Elogio,161,93.57616543554148,5.0
1099,2024-01-03 11:21:00,WhatsApp,Free,Elogio,203,99.3153617848337,4.0
1100,2024-01-19 15:34:00,App Android,Free,Suporte Técnico,287,133.51496689484787,4.0
1101,2024-01-28 01:12:00,WhatsApp,Free,Reclamação,157,128.02229477074357,5.0
1102,2024-01-16 17:42:00,WhatsApp,Standard,Financeiro,127,25.26069414499848,5.0
1103,2024-01-06 19:52:00,WhatsApp,Free,Dúvida Produto,130,89.96569860620237,4.0
1104,2024-01-22 04:55:00,Web,Standard,Suporte Técnico,43,75.52300324168719,4.0
1105,2024-01-10 01:47:00,Web,Free,Dúvida Produto,87,125.94330393639933,4.0
1106,2024-01-17 09:19:00,WhatsApp,Free,Financeiro,103,88.4137708618795,4.0
1107,2024-01-25 11:02:00,App iOS,Free,Financeiro,56,118.59313129836532,4.0
1108,2024-01-09 05:17:00,Web,Free,Elogio,123,97.32109445030005,4.0
1109,2024-01-10 17:59:00,Web,Premium,Financeiro,312,12.114345413382152,5.0
1110,2024-01-22 09:38:00,Web,Free,Dúvida Produto,136,92.42473442585047,5.0
1111,2024-01-14 06:35:00,Web,Free,Reclamação,89,87.86684300913157,5.0
1112,2024-01-08 14:45:00,Web,Free,Reclamação,125,70.48673127172387,4.0
1113,2024-01-18 00:58:00,WhatsApp,Premium,Elogio,101,16.073168308416726,5.0
1114,2024-01-30 12:50:00,WhatsApp,Premium,Dúvida Produto,75,15.066308249549568,5.0
1115,2024-01-04 12:16:00,App Android,Premium,Dúvida Produto,31,16.66926511637562,5.0
1116,2024-01-23 13:22:00,App Android,Free,Financeiro,143,93.48035003276966,4.0
1117,2024-01-06 15:10:00,WhatsApp,Free,Dúvida Produto,124,78.28014785374674,5.0
1118,2024-01-10 13:33:00,WhatsApp,Standard,Suporte Técnico,124,86.52500988435472,4.0
1119,2024-01-19 22:26:00,App iOS,Free,Financeiro,192,78.76083095543558,4.0
1120,2024-01-13 02:12:00,Web,Free,Suporte Técnico,64,85.5148264747528,5.0
1121,2024-01-24 02:30:00,WhatsApp,Free,Elogio,89,92.3157530631759,4.0
1122,2024-01-05 19:10:00,WhatsApp,Free,Reclamação,49,80.02667290978819,4.0
1123,2024-01-18 16:06:00,App iOS,Free,Elogio,62,96.87834907913943,3.0
1124,2024-01-01 03:26:00,App iOS,Free,Reclamação,34,125.97969124691485,3.0
1125,2024-01-15 22:38:00,WhatsApp,Standard,Elogio,51,42.16643815888835,4.0
1126,2024-01-16 12:41:00,WhatsApp,Free,Dúvida Produto,116,87.02778740000689,
1127,2024-01-17 06:19:00,WhatsApp,Free,Suporte Técnico,294,187.8068172939275,4.0
1128,2024-01-29 20:03:00,App iOS,Free,Reclamação,39,100.52429907452259,4.0
1129,2024-01-16 13:23:00,WhatsApp,Free,Financeiro,74,83.33593934640562,4.0
1130,2024-01-13 14:21:00,WhatsApp,Free,Suporte Técnico,261,242.6299435056124,3.0
1131,2024-01-11 07:00:00,App iOS,Premium,Financeiro,129,13.017417713319437,5.0
1132,2024-01-29 00:22:00,WhatsApp,Standard,Suporte Técnico,111,78.76038624034129,5.0
1133,2024-01-05 10:14:00,App iOS,Premium,Suporte Técnico,47,31.41019385779893,5.0
1134,2024-01-02 03:58:00,WhatsApp,Standard,Elogio,80,37.1055204961888,5.0
1135,2024-01-24 11:47:00,WhatsApp,Free,Reclamação,58,79.38040156645297,5.0
1136,2024-01-12 05:58:00,WhatsApp,Free,Reclamação,122,101.89984564322944,4.0
1137,2024-01-07 21:14:00,App iOS,Premium,Suporte Técnico,124,28.014245376108608,
1138,2024-01-20 08:50:00,App Android,Standard,Dúvida Produto,66,34.68704313966415,
1139,2024-01-16 11:39:00,App Android,Free,Dúvida Produto,76,72.6050867531724,5.0
1140,2024-01-30 13:17:00,WhatsApp,Standard,Financeiro,192,31.567060841847056,5.0
1141,2024-01-02 20:53:00,App iOS,Free,Financeiro,207,108.41761752026376,4.0
1142,2024-01-21 11:07:00,WhatsApp,Free,Elogio,71,86.40030782597798,5.0
1143,2024-01-21 15:23:00,WhatsApp,Free,Suporte Técnico,72,178.687489016433,4.0
1144,2024-01-03 12:27:00,App Android,Premium,Financeiro,555,16.490437521407763,4.0
1145,2024-01-19 00:19:00,WhatsApp,Standard,Financeiro,75,24.954111606080712,5.0
1146,2024-01-30 19:41:00,WhatsApp,Free,Suporte Técnico,94,206.80894803612472,2.0
1147,2024-01-16 03:54:00,WhatsApp,Free,Elogio,118,94.77832787092309,
1148,2024-01-13 12:47:00,WhatsApp,Premium,Financeiro,77,19.082028108323115,4.0
1149,2024-01-19 03:05:00,WhatsApp,Free,Elogio,216,90.47796036839044,5.0
1150,2024-01-08 02:30:00,Web,Premium,Reclamação,223,15.06857252953537,
1151,2024-01-11 21:47:00,Web,Free,Elogio,299,103.27523208521133,4.0
